time/fs 	 energy/h 	 kin energy/h 	 thermostat/h 	 SumE/h 	 T/K 
5.51500000e+02	-1.06787601e+03	5.62641015e-02	-1.42621859e-02	-1067.8902721859	296.11330077838926
5.52000000e+02	-1.06787739e+03	5.23098334e-02	-8.94479406e-03	-1067.88633479406	275.3023156557763
5.52500000e+02	-1.06787928e+03	5.29876425e-02	-7.75285732e-03	-1067.88703285732	278.8695687451841
5.53000000e+02	-1.06788140e+03	5.56631136e-02	-8.33698946e-03	-1067.88973698946	292.95035129457193
5.53500000e+02	-1.06788336e+03	5.87419384e-02	-9.46888058e-03	-1067.89282888058	309.15395092099385
5.54000000e+02	-1.06788485e+03	6.05548739e-02	-9.80016219e-03	-1067.89465016219	318.69528012898485
5.54500000e+02	-1.06788570e+03	5.92208990e-02	-7.61366606e-03	-1067.89331366606	311.674680843408
5.55000000e+02	-1.06788598e+03	5.29997448e-02	-1.10284849e-03	-1067.88708284849	278.933262146562
5.55500000e+02	-1.06788603e+03	4.58796845e-02	6.07827047e-03	-1067.87995172953	241.46097518265896
5.56000000e+02	-1.06788621e+03	4.34865862e-02	8.65459670e-03	-1067.8775554033	228.86629726533454
5.56500000e+02	-1.06788673e+03	4.65897669e-02	6.08134648e-03	-1067.88064865352	245.19807997386658
5.57000000e+02	-1.06788764e+03	5.50256250e-02	-1.45522425e-03	-1067.88909522425	289.59530165329056
5.57500000e+02	-1.06788870e+03	6.34366777e-02	-8.81277866e-03	-1067.89751277866	333.8619745693769
5.58000000e+02	-1.06788952e+03	6.61650428e-02	-1.07389617e-02	-1067.9002589617	348.2211338547973
5.58500000e+02	-1.06788975e+03	6.32605704e-02	-7.61567996e-03	-1067.89736567996	332.9351364522842
5.59000000e+02	-1.06788930e+03	5.75923244e-02	-2.40026487e-03	-1067.89170026487	303.1036277649216
5.59500000e+02	-1.06788830e+03	5.29553985e-02	1.23722493e-03	-1067.88706277507	278.69987124685474
5.60000000e+02	-1.06788694e+03	5.10304903e-02	1.81938560e-03	-1067.8851206144002	268.5692390035337
5.60500000e+02	-1.06788546e+03	5.09741512e-02	4.14498241e-04	-1067.885045501759	268.2727309918687
5.61000000e+02	-1.06788412e+03	5.22762100e-02	-2.20881587e-03	-1067.88632881587	275.1253584896267
5.61500000e+02	-1.06788314e+03	5.49333972e-02	-5.82827217e-03	-1067.88896827217	289.10991438941454
5.62000000e+02	-1.06788266e+03	5.84080365e-02	-9.78514308e-03	-1067.89244514308	307.3966529084205
5.62500000e+02	-1.06788264e+03	6.14452520e-02	-1.28427038e-02	-1067.8954827038	323.3812662391832
5.63000000e+02	-1.06788297e+03	6.25656147e-02	-1.36474338e-02	-1067.8966174338	329.2776422288715
5.63500000e+02	-1.06788349e+03	5.95089799e-02	-1.00510902e-02	-1067.8935410902	313.1908267324561
5.64000000e+02	-1.06788418e+03	4.79108614e-02	2.22848501e-03	-1067.88195151499	252.15089078228542
5.64500000e+02	-1.06788519e+03	4.17241037e-02	9.40394939e-03	-1067.87578605061	219.59049801278363
5.65000000e+02	-1.06788666e+03	4.34690943e-02	9.12297099e-03	-1067.87753702901	228.77423884606185
5.65500000e+02	-1.06788858e+03	5.05648926e-02	3.93396250e-03	-1067.8846460375	266.1188369157686
5.66000000e+02	-1.06789074e+03	5.98748312e-02	-3.22407979e-03	-1067.89396407979	315.116271787987
5.66500000e+02	-1.06789279e+03	6.57557129e-02	-7.06402350e-03	-1067.8998540235002	346.0668645327095
5.67000000e+02	-1.06789442e+03	6.58069533e-02	-5.48904223e-03	-1067.89990904223	346.33653850905836
5.67500000e+02	-1.06789556e+03	6.11990164e-02	2.55907685e-04	-1067.895304092315	322.0853486942252
5.68000000e+02	-1.06789632e+03	5.62691042e-02	5.94072586e-03	-1067.89037927414	296.13962957366573
5.68500000e+02	-1.06789683e+03	5.45604506e-02	8.16289332e-03	-1067.8886671066798	287.14712735832546
5.69000000e+02	-1.06789710e+03	5.46824706e-02	8.30133809e-03	-1067.88879866191	287.789308500434
5.69500000e+02	-1.06789702e+03	5.52928168e-02	7.60831998e-03	-1067.8894116800202	291.0015099411616
5.70000000e+02	-1.06789647e+03	5.59825699e-02	6.35862957e-03	-1067.8901113704298	294.63162331217364
5.70500000e+02	-1.06789532e+03	5.66267760e-02	4.57133822e-03	-1067.89074866178	298.0220265989403
5.71000000e+02	-1.06789355e+03	5.75362137e-02	1.90266104e-03	-1067.89164733896	302.8083218035177
5.71500000e+02	-1.06789120e+03	6.00444909e-02	-2.93535936e-03	-1067.89413535936	316.0091767209143
5.72000000e+02	-1.06788833e+03	6.57683102e-02	-1.15064317e-02	-1067.8998364317	346.133163078042
5.72500000e+02	-1.06788503e+03	7.01114025e-02	-1.91340907e-02	-1067.9041640906999	368.99049772397444
5.73000000e+02	-1.06788160e+03	6.72642452e-02	-1.96898196e-02	-1067.9012898196	354.0061449401965
5.73500000e+02	-1.06787856e+03	5.86054171e-02	-1.40610491e-02	-1067.8926210491002	308.43545063943236
5.74000000e+02	-1.06787631e+03	5.01471813e-02	-7.84014086e-03	-1067.8841501408601	263.92045698046593
5.74500000e+02	-1.06787503e+03	4.61242504e-02	-5.09772357e-03	-1067.88012772357	242.7481052349684
5.75000000e+02	-1.06787469e+03	4.73653134e-02	-6.68782335e-03	-1067.88137782335	249.27971689509468
5.75500000e+02	-1.06787514e+03	5.45388121e-02	-1.34276943e-02	-1067.8885676943	287.0332457270887
5.76000000e+02	-1.06787608e+03	6.43289213e-02	-2.22871999e-02	-1067.8983671999	338.55777865138805
5.76500000e+02	-1.06787713e+03	6.79963356e-02	-2.49158429e-02	-1067.9020458429002	357.859076010502
5.77000000e+02	-1.06787801e+03	6.58342355e-02	-2.18681003e-02	-1067.8998781003	346.48012246541987
5.77500000e+02	-1.06787879e+03	6.17977085e-02	-1.70511434e-02	-1067.8958411434	325.23621557301016
5.78000000e+02	-1.06787965e+03	5.77143702e-02	-1.20991584e-02	-1067.8917491584	303.74594469029074
5.78500000e+02	-1.06788080e+03	5.47486321e-02	-7.97881995e-03	-1067.88877881995	288.13751098882614
5.79000000e+02	-1.06788235e+03	5.34757205e-02	-5.17273794e-03	-1067.8875227379401	281.438282787784
5.79500000e+02	-1.06788421e+03	5.38228945e-02	-3.67104373e-03	-1067.88788104373	283.26543076213557
5.80000000e+02	-1.06788618e+03	5.52780255e-02	-3.17824412e-03	-1067.8893582441199	290.9236645557554
5.80500000e+02	-1.06788793e+03	5.70727919e-02	-3.23731822e-03	-1067.8911673182201	300.3693712970271
5.81000000e+02	-1.06788913e+03	5.82251342e-02	-3.21384156e-03	-1067.89234384156	306.43405326976887
5.81500000e+02	-1.06788953e+03	5.76622324e-02	-2.25916266e-03	-1067.89178916266	303.4715477721542
5.82000000e+02	-1.06788913e+03	5.54305218e-02	-4.14352495e-04	-1067.889544352495	291.72623993767087
5.82500000e+02	-1.06788814e+03	5.25674057e-02	1.47620482e-03	-1067.88666379518	276.6578973127957
5.83000000e+02	-1.06788689e+03	5.06114156e-02	2.20560539e-03	-1067.88468439461	266.3636836070841
5.83500000e+02	-1.06788568e+03	5.17793256e-02	-1.64328537e-04	-1067.8858443285371	272.510297094053
5.84000000e+02	-1.06788459e+03	5.85758559e-02	-8.04043782e-03	-1067.89263043782	308.27987249504537
5.84500000e+02	-1.06788351e+03	6.70123203e-02	-1.75655941e-02	-1067.9010755941	352.68028508109495
5.85000000e+02	-1.06788224e+03	6.87471143e-02	-2.05701263e-02	-1067.9028101263	361.8103620540747
5.85500000e+02	-1.06788074e+03	6.33740001e-02	-1.66924882e-02	-1067.8974324882001	333.5321075577999
5.86000000e+02	-1.06787917e+03	5.53510723e-02	-1.02442762e-02	-1067.8894142762	291.30810380711887
5.86500000e+02	-1.06787769e+03	4.99300480e-02	-6.30181637e-03	-1067.88399181637	262.7777024272469
5.87000000e+02	-1.06787639e+03	4.85660726e-02	-6.22746751e-03	-1067.8826174675098	255.59921299780984
5.87500000e+02	-1.06787531e+03	5.00244516e-02	-8.75630450e-03	-1067.8840663044998	263.2745407461057
5.88000000e+02	-1.06787449e+03	5.29243832e-02	-1.24744922e-02	-1067.8869644922	278.53664029474163
5.88500000e+02	-1.06787397e+03	5.60705426e-02	-1.61245107e-02	-1067.8900945107	295.0946163375823
5.89000000e+02	-1.06787386e+03	5.86124398e-02	-1.87688854e-02	-1067.8926288854	308.4724105272104
5.89500000e+02	-1.06787423e+03	6.00631851e-02	-1.98465119e-02	-1067.8940765118998	316.1075627453923
5.90000000e+02	-1.06787511e+03	6.01686337e-02	-1.90796855e-02	-1067.8941896855	316.66252998340036
5.90500000e+02	-1.06787643e+03	5.88005405e-02	-1.64023874e-02	-1067.8928323874	309.462368914011
5.91000000e+02	-1.06787807e+03	5.54082954e-02	-1.13793579e-02	-1067.8894493579	291.6092642374827
5.91500000e+02	-1.06787988e+03	4.96754632e-02	-3.85798954e-03	-1067.88373798954	261.4378437350041
5.92000000e+02	-1.06788172e+03	4.50452335e-02	2.59607494e-03	-1067.8791239250602	237.06932876228862
5.92500000e+02	-1.06788355e+03	4.46844552e-02	4.77489551e-03	-1067.87877510449	235.17058248510486
