r(Å)	g(r)
3.44	0.09066696850370215
3.45	0.09277181469340645
3.46	0.09395982092143429
3.47	0.09404070221275962
3.48	0.09273490232170623
3.49	0.09006825471511004
3.5	0.0860747749327403
3.51	0.08081498680913457
3.52	0.07440389777320844
3.53	0.06696629165402856
3.54	0.05872116557010032
3.55	0.05000053742729249
3.56	0.04107359763148999
3.57	0.032225409014545514
3.58	0.023730315331821683
3.59	0.01596854589248864
3.6	0.009132542201224392
3.61	0.0034350285317943374
3.62	-0.0009583270707520519
3.63	-0.003920834175554777
3.64	-0.005256798924634376
3.65	-0.004950025651375034
3.66	-0.0031208321849930387
3.67	0.00016689625743360192
3.68	0.0048023273262295385
3.69	0.010668520680778504
3.7	0.017693539696157834
3.71	0.02555540056370731
3.72	0.03406971960322758
3.73	0.04306132189731238
3.74	0.05236411817954756
3.75	0.06184256173992664
3.76	0.07136613483832843
3.77	0.08084183509609799
3.78	0.09023829707315423
3.79	0.09955402116513346
3.8	0.10882869240103032
3.81	0.11815609084503009
3.82	0.12764560784154844
3.83	0.13743225375595047
3.84	0.14766649064797688
3.85	0.15850877720572076
3.86	0.17022831534730976
3.87	0.18291832885229908
3.88	0.19668463642760192
3.89	0.21162399497737394
3.9	0.22779724322068284
3.91	0.24529529535454808
3.92	0.2641121515476199
3.93	0.28404730019150026
3.94	0.3049560052700401
3.95	0.32664514862445226
3.96	0.3488741814015671
3.97	0.37136863019926536
3.98	0.39372100264293997
3.99	0.41557723998116713
4.0	0.4365682131788119
4.01	0.4563186550470155
4.02	0.47431522536850024
4.03	0.49016580186421166
4.04	0.5036416434707517
4.05	0.514457328451036
4.06	0.5223714369191588
4.07	0.5271389574095606
4.08	0.5282951537619038
4.09	0.5261520812382529
4.1	0.5207210658959194
4.11	0.5120759972174277
4.12	0.5003506048243367
4.13	0.48547780475652413
4.14	0.46790357487150835
4.15	0.4480409972204369
4.16	0.4262204689090109
4.17	0.40279625519456497
4.18	0.3781019702751848
4.19	0.3525121396238772
4.2	0.3265184563027901
4.21	0.300473655705091
4.22	0.27470760360176094
4.23	0.24952058420984446
4.24	0.22528956721835047
4.25	0.20219028155614183
4.26	0.18037939443460116
4.27	0.1599858910906914
4.28	0.1410959582749165
4.29	0.12384213413716427
4.3	0.10825881106261215
