Mol1,Mol2,Mol1_fraction,EM?
DL malic acid,Citric acid,0.60,YES
DL malic acid,Citric acid,0.70,NO
DL malic acid,Citric acid,0.80,NO
DL malic acid,Citric acid,0.90,NO
Citric acid,Adonitol,0.90,NO
Citric acid,Adonitol,0.80,NO
Citric acid,Adonitol,0.70,YES
Citric acid,Adonitol,0.60,YES
Citric acid,Adonitol,0.40,YES
Citric acid,Adonitol,0.30,YES
Citric acid,Adonitol,0.20,YES
Citric acid,Adonitol,0.10,YES
Citric acid,Arabitol,0.90,NO
Citric acid,Arabitol,0.80,NO
Citric acid,Arabitol,0.70,YES
Citric acid,Arabitol,0.60,YES
Citric acid,Arabitol,0.40,YES
Citric acid,Arabitol,0.30,YES
Citric acid,Arabitol,0.20,YES
Citric acid,Arabitol,0.10,YES
Citric acid,Sorbitol,0.90,NO
Citric acid,Sorbitol,0.80,NO
Citric acid,Sorbitol,0.70,YES
Citric acid,Sorbitol,0.60,YES
Citric acid,Sorbitol,0.40,YES
Citric acid,Sorbitol,0.30,YES
Citric acid,Sorbitol,0.20,YES
Citric acid,Sorbitol,0.10,YES
Formic acid,Arabitol,0.90,YES
Formic acid,Arabitol,0.80,YES
Formic acid,Arabitol,0.70,YES
Formic acid,Arabitol,0.60,YES
Formic acid,Arabitol,0.40,NO
Formic acid,Arabitol,0.30,NO
Formic acid,Arabitol,0.20,NO
Formic acid,Arabitol,0.10,NO
Formic acid,Sorbitol,0.90,YES
Formic acid,Sorbitol,0.80,YES
Formic acid,Sorbitol,0.70,YES
Formic acid,Sorbitol,0.60,YES
Formic acid,Sorbitol,0.40,NO
Formic acid,Sorbitol,0.30,NO
Formic acid,Sorbitol,0.20,NO
Formic acid,Sorbitol,0.10,NO
DL malic acid,Adonitol,0.90,NO
DL malic acid,Adonitol,0.80,NO
DL malic acid,Adonitol,0.70,YES
DL malic acid,Adonitol,0.60,YES
DL malic acid,Adonitol,0.40,YES
DL malic acid,Adonitol,0.30,YES
DL malic acid,Adonitol,0.20,YES
DL malic acid,Adonitol,0.10,YES
DL malic acid,Arabitol,0.90,NO
DL malic acid,Arabitol,0.80,NO
DL malic acid,Arabitol,0.70,NO
DL malic acid,Arabitol,0.60,YES
DL malic acid,Arabitol,0.40,YES
DL malic acid,Arabitol,0.30,NO
DL malic acid,Arabitol,0.20,NO
DL malic acid,Arabitol,0.10,NO
DL malic acid,Sorbitol,0.90,NO
DL malic acid,Sorbitol,0.80,YES
DL malic acid,Sorbitol,0.70,YES
DL malic acid,Sorbitol,0.60,YES
DL malic acid,Sorbitol,0.40,YES
DL malic acid,Sorbitol,0.30,YES
DL malic acid,Sorbitol,0.20,YES
DL malic acid,Sorbitol,0.10,YES
Arabitol,Sorbitol,0.90,NO
Arabitol,Sorbitol,0.80,YES
Arabitol,Sorbitol,0.70,YES
Arabitol,Sorbitol,0.60,YES
Arabitol,Sorbitol,0.40,YES
Arabitol,Sorbitol,0.30,YES
Arabitol,Sorbitol,0.20,YES
Arabitol,Sorbitol,0.10,YES
Citric acid,D mannitol,0.80,NO
Citric acid,D mannitol,0.75,NO
Citric acid,D mannitol,0.67,NO
Citric acid,D mannitol,0.33,NO
Citric acid,D mannitol,0.25,YES
Citric acid,D mannitol,0.20,YES
Sorbitol,D mannitol,0.20,NO
Sorbitol,D mannitol,0.25,NO
Sorbitol,D mannitol,0.33,NO
Sorbitol,D mannitol,0.67,NO
Sorbitol,D mannitol,0.75,NO
Sorbitol,D mannitol,0.80,NO
DL malic acid,D mannitol,0.20,NO
DL malic acid,D mannitol,0.25,NO
DL malic acid,D mannitol,0.33,NO
DL malic acid,D mannitol,0.67,NO
DL malic acid,D mannitol,0.75,YES
DL malic acid,D mannitol,0.80,YES
Arabitol,D mannitol,0.20,NO
Arabitol,D mannitol,0.25,NO
Arabitol,D mannitol,0.33,NO
Arabitol,D mannitol,0.67,NO
Arabitol,D mannitol,0.75,NO
Arabitol,D mannitol,0.80,NO
Glutamic acid,Citric acid,0.80,NO
Glutamic acid,Citric acid,0.75,NO
Glutamic acid,Citric acid,0.67,NO
Glutamic acid,Citric acid,0.33,NO
Glutamic acid,Citric acid,0.25,NO
Glutamic acid,Citric acid,0.20,NO
Glutamic acid,Arabitol,0.80,NO
Glutamic acid,Arabitol,0.75,NO
Glutamic acid,Arabitol,0.67,NO
Glutamic acid,Arabitol,0.33,NO
Glutamic acid,Arabitol,0.25,NO
Glutamic acid,Arabitol,0.20,NO
Glutamic acid,Sorbitol,0.80,NO
Glutamic acid,Sorbitol,0.75,NO
Glutamic acid,Sorbitol,0.67,NO
Glutamic acid,Sorbitol,0.33,NO
Glutamic acid,Sorbitol,0.25,NO
Glutamic acid,Sorbitol,0.20,NO
Tryptophane,Citric acid,0.80,NO
Tryptophane,Citric acid,0.75,NO
Tryptophane,Citric acid,0.67,NO
Tryptophane,Citric acid,0.33,NO
Tryptophane,Citric acid,0.25,NO
Tryptophane,Citric acid,0.20,YES
Tryptophane,L proline,0.50,NO
Tryptophane,Arabitol,0.80,NO
Tryptophane,Arabitol,0.75,NO
Tryptophane,Arabitol,0.67,NO
Tryptophane,Arabitol,0.33,NO
Tryptophane,Arabitol,0.25,NO
Tryptophane,Arabitol,0.20,NO
DL malic acid,Choline chloride,0.50,YES
Lactic acid,Ethylene glycol,0.50,YES
Acetic acid,Glycerol,0.50,YES
Tetradecanol,Menthol,0.67,NO
Monoethanolamine,Choline chloride,0.88,YES
Dodecan 1 ol,Decanol,0.50,YES
Sorbitol,DL glucose,0.50,YES
Adonitol,D fructose,0.50,YES
D fructose,D glucose monohydrate,0.50,YES
D fructose,Sorbitol,0.50,YES
Adonitol,Sorbitol,0.75,YES
Adonitol,Sorbitol,0.25,YES
